"ecosystem","sample","sample_fraction","fraction","sampleID","isotope.treatment","iso.treat.eco","Density.g.ml","avg_16S_copies","dna_ng_ul","uL_added","dry_soil_wt_g"
"GL",13,"13_4",4,"W1_GL_13","13C_N","13C_N.GL",1.7312096,3052.937104,20,50,0.25737993277907
"GL",13,"13_5",5,"W1_GL_13","13C_N","13C_N.GL",1.7269984,13531.11598,20,50,0.25737993277907
"GL",13,"13_6",6,"W1_GL_13","13C_N","13C_N.GL",1.7227872,25440.21847,20,50,0.25737993277907
"GL",13,"13_7",7,"W1_GL_13","13C_N","13C_N.GL",1.7196288,66037.8272,20,50,0.25737993277907
"GL",13,"13_8",8,"W1_GL_13","13C_N","13C_N.GL",1.7143648,105295.0998,20,50,0.25737993277907
"GL",13,"13_9",9,"W1_GL_13","13C_N","13C_N.GL",1.7101536,111756.7118,20,50,0.25737993277907
"GL",14,"14_10",10,"W1_GL_14","13C_N","13C_N.GL",1.7017312,50597.09602,18.5,30,0.250651045647591
"GL",14,"14_11",11,"W1_GL_14","13C_N","13C_N.GL",1.69752,42659.54952,18.5,30,0.250651045647591
"GL",14,"14_12",12,"W1_GL_14","13C_N","13C_N.GL",1.6933088,60473.56126,18.5,30,0.250651045647591
"GL",14,"14_13",13,"W1_GL_14","13C_N","13C_N.GL",1.6880448,195118.6974,18.5,30,0.250651045647591
"GL",14,"14_14",14,"W1_GL_14","13C_N","13C_N.GL",1.6838336,160477.386,18.5,30,0.250651045647591
"GL",14,"14_15",15,"W1_GL_14","13C_N","13C_N.GL",1.6827808,72186.61266,18.5,30,0.250651045647591
"GL",14,"14_16",16,"W1_GL_14","13C_N","13C_N.GL",1.676464,49542.6859,18.5,30,0.250651045647591
"GL",14,"14_17",17,"W1_GL_14","13C_N","13C_N.GL",1.6733056,21166.83987,18.5,30,0.250651045647591
"GL",14,"14_18",18,"W1_GL_14","13C_N","13C_N.GL",1.6669888,12012.11259,18.5,30,0.250651045647591
"GL",14,"14_19",19,"W1_GL_14","13C_N","13C_N.GL",1.6644,6715.424303,18.5,30,0.250651045647591
"GL",14,"14_20",20,"W1_GL_14","13C_N","13C_N.GL",1.6603,5462.985162,18.5,30,0.250651045647591
"GL",14,"14_3",3,"W1_GL_14","13C_N","13C_N.GL",1.729104,2292.662899,18.5,30,0.250651045647591
"GL",14,"14_4",4,"W1_GL_14","13C_N","13C_N.GL",1.7259456,3789.318536,18.5,30,0.250651045647591
"GL",14,"14_5",5,"W1_GL_14","13C_N","13C_N.GL",1.7227872,9048.962749,18.5,30,0.250651045647591
"GL",14,"14_6",6,"W1_GL_14","13C_N","13C_N.GL",1.718576,13668.11153,18.5,30,0.250651045647591
"GL",14,"14_7",7,"W1_GL_14","13C_N","13C_N.GL",1.7143648,27333.53808,18.5,30,0.250651045647591
"GL",14,"14_8",8,"W1_GL_14","13C_N","13C_N.GL",1.7122592,45225.55991,18.5,30,0.250651045647591
"GL",14,"14_9",9,"W1_GL_14","13C_N","13C_N.GL",1.7059424,71079.55245,18.5,30,0.250651045647591
"GL",15,"15_10",10,"W1_GL_15","13C_N","13C_N.GL",1.6985728,187321.9082,18.1,35,0.25401548921333
